place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
Rauheckhaus,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Haslach,2,locality,linked,osm+geonames,47.64791,10.15825,1500,2909556,Haslach,P.PPL,DE,02,Q115009032,node/1857067734,0.95,entry context 40 km (100% of the entries),
Ismaninger See-Gebiet,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Em-See,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Seebucht,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Sag-Weiher,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Entwässerungsgraben,2,locality,review,osm,47.49224,12.35233,1500,,,,,,,way/192948106,0.70,"far from most of the entries' other places (0% within 80 km, nearest 92 km)",
Georg-Hirschmann-Heim,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Addis Abeba,2,locality,review,osm,9.03581,38.75243,5000,,,,,,Q3624,node/27565076,0.55,4978 km from the entries' other places (0% within 80 km),
Mairinger Berg,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Universität München,2,locality,linked,osm,48.14907,11.56745,1500,,,,,,Q157808,way/144291476,0.90,OSM amenity/university named after the place; entry context 1 km (100% of the entries),
Stapelberg,2,locality,review,osm,51.47744,9.15220,300,,,,,,,node/3698816537,0.55,404 km from the entries' other places (0% within 80 km),
Zinnkopf,2,locality,linked,osm+geonames,47.77836,12.52673,300,2804111,Zinnkopf,T.PK,DE,02,Q31284760,node/3230301410,0.80,"far from most of the entries' other places (0% within 80 km, nearest 81 km)",
Hintersteinertal,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Schreck bei Hinterstein,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schlesien,2,locality,review,osm,51.93838,15.50504,3000,,,,,,Q104720,relation/2132418,0.55,507 km from the entries' other places (0% within 80 km),
Ortenburg,2,locality,linked,osm+geonames,48.54597,13.22250,1500,2857011,Ortenburg,P.PPL,DE,02,Q264999,relation/958094,0.95,,
Arnsberg,2,locality,linked,osm+geonames,48.92604,11.37458,1500,2955473,Arnsberg,P.PPL,DE,02,Q697336,node/1687342024,0.80,"far from most of the entries' other places (0% within 80 km, nearest 89 km)",
Nordsächsischer Urwald,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Frankenwald,2,locality,linked,osm+geonames,50.30595,11.57675,5000,2925544,Frankenwald,T.MTS,DE,02,Q282737,relation/3575639,0.95,,
Kahlgrund,2,locality,no_match,osm,52.13828,8.98421,1500,,,,,,,way/43139666,0.30,OSM landuse/residential named after the place; 272 km from the entries' other places (0% within 80 km),
Kötzting,2,locality,linked,osm+geonames,49.17194,12.85675,1500,7289916,Bad Kötzting,P.PPL,DE,02,Q623464,relation/959885,0.95,,
Antshofen,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Prienz,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Karlshafen,2,settlement,linked,osm+geonames,51.64263,9.45477,1500,2892867,Bad Karlshafen,P.PPL,DE,05,Q506295,relation/1112227,0.95,,
Konstantin,2,settlement,review,geonames,52.96930,10.37060,800,13624260,Konstantin,P.PPLL,DE,06,,,0.60,GeoNames primary name match (DE),
Unterfauerndorf,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Kirchheimer Moos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schleching,2,locality,linked,osm+geonames,47.72098,12.39481,2000,2838842,Schleching,P.PPLA4,DE,02,Q258672,relation/941706,0.95,,
Markus-Kirche,2,locality,no_match,osm,47.42035,8.54107,1500,,,,,,Q21035582,way/12090437,0.30,OSM amenity/place_of_worship named after the place; 240 km from the entries' other places (0% within 80 km),
Unterer Isarkanal-Teich,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Sünhaun,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Marienberg,2,locality,linked,osm+geonames,48.14297,12.78937,1500,2873635,Marienberg,P.PPL,DE,02,,node/498889121,0.80,"far from most of the entries' other places (0% within 80 km, nearest 90 km)",
Tiefenthal,2,locality,linked,osm+geonames,48.99311,12.42810,1500,2822325,Tiefenthal,P.PPL,DE,02,Q18028610,node/1679688283,0.95,entry context 12 km (100% of the entries),
Klardorf,2,locality,linked,osm+geonames,49.26942,12.11184,1500,2890058,Klardorf,P.PPL,DE,02,Q120753158,node/147811990,0.95,entry context 28 km (100% of the entries),
Donk,2,locality,review,osm+geonames,51.23493,6.46853,1500,2936240,Donk,P.PPL,DE,07,,node/143774541,0.65,355 km from the entries' other places (0% within 80 km),
Schwabelweis,2,locality,linked,osm+geonames,49.02309,12.15109,1000,2835526,Schwabelweis,P.PPLX,DE,02,Q1254499,node/46888218,0.95,entry context 4 km (100% of the entries),
Moos-Kanäle,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Sattler Teiche,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Mistelbach,2,locality,review,osm+geonames,49.91260,11.51264,2000,2870941,Mistelbach,P.PPLA4,DE,02,Q514454,relation/1070976,0.65,197 km from the entries' other places (0% within 80 km),
Wörüfer,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Jägerbrünnl,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Isarwiese,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Bahngeleis,2,locality,review,osm,47.88860,10.64269,500,,,,,,,way/46962585,0.60,OSM highway/track named after the place,
Walserberg,2,locality,linked,osm+geonames,47.77389,12.95750,1500,3322796,Walserberg,P.PPL,AT,05,,node/240110924,0.95,entry context 7 km (100% of the entries),
Farchanter Moos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Irschenig,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Knauthain,2,locality,review,osm+geonames,51.27001,12.30183,1000,2887242,Knauthain,P.PPLX,DE,13,Q1389417,node/2373682930,0.65,352 km from the entries' other places (0% within 80 km),
Rosenrau,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schosbachwald,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Reuth,2,locality,linked,osm+geonames,47.89315,11.56740,1500,2847779,Reuth,P.PPL,DE,02,Q108641248,node/893264089,0.95,entry context 27 km (100% of the entries),
Kapellberg und Ostbecken,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Emmapolder,2,locality,no_match,geonames,53.45865,6.74719,2000,2756141,Emmapolder,T.PLDR,NL,04,,,0.20,GeoNames primary name match (NL); 488 km from the entries' other places (0% within 80 km),
Rosenauerspeicher,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Arndorf,2,locality,linked,osm+geonames,48.41030,12.06223,1500,2955524,Arndorf,P.PPL,DE,02,Q127599227,node/337960845,0.95,,
Sitzenberg bei Traunstein,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ei-Hanny bei Seibelping,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Riedufer,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Überfallrohr,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Kielberg,2,locality,linked,osm+geonames,49.29212,12.69633,500,2891120,Kielberg,T.MT,DE,02,Q31535387,node/5077620390,0.80,"far from most of the entries' other places (0% within 80 km, nearest 139 km)",
Schinderviertel,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Eben,2,locality,linked,osm+geonames,47.41380,11.76138,2000,2780570,Eben am Achensee,P.PPLA3,AT,07,Q21879842,node/13469332840,0.95,,
Palzing,2,locality,linked,osm+geonames,48.45965,11.70783,1500,2855630,Palzing,P.PPL,DE,02,Q110970040,node/26446044,0.95,entry context 25 km (100% of the entries),
Hochseiler,2,locality,linked,osm+geonames,47.43333,13.01667,300,2775953,Hochseiler,T.PK,AT,05,Q17487715,node/509265154,0.80,"far from most of the entries' other places (0% within 80 km, nearest 133 km)",
Geierköpfe,2,locality,linked,osm+geonames,47.51667,10.86667,300,2778749,Geierköpfe,T.PK,AT,07,Q871973,node/280575160,0.95,,
Kleiner Jenner,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Klapp,2,locality,review,osm,48.13919,11.59251,1500,,,,,,,node/10202079729,0.60,OSM office/lawyer named after the place; named after a settlement elsewhere; not confirmed by context (1 km),
Reitshofau,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Großlappener Kläranlage,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Gillingen,2,locality,review,osm+geonames,67.73292,14.55959,2000,9063445,Store Gillingen,T.ISL,NO,09,,way/23878340,0.65,2185 km from the entries' other places (0% within 80 km),
Biedersteiner Park,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bürg,2,locality,review,geonames,48.21564,12.29542,1500,2941523,Bürg,P.PPL,DE,02,,,0.70,GeoNames primary name match (DE),
Wartburg,2,locality,review,osm+geonames,47.67064,9.04464,800,11568060,Wartburg,P.PPLL,CH,TG,,node/48925310,0.65,170 km from the entries' other places (0% within 80 km),
Luhe,2,locality,linked,osm+geonames,49.58367,12.14921,1500,2875246,Luhe-Wildenau,P.PPL,DE,02,Q123294690,node/13295415300,0.95,entry context 5 km (100% of the entries),
Hahnbach,2,locality,linked,osm+geonames,49.53389,11.80302,1500,2912351,Hahnbach,P.PPL,DE,02,Q503372,relation/1028557,0.95,entry context 10 km (100% of the entries),
Mitterteich,2,locality,linked,osm+geonames,49.95141,12.24206,1500,2870355,Mitterteich,P.PPL,DE,02,Q253371,relation/975234,0.95,entry context 10 km (100% of the entries),
Mauersteg,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Isinger Moos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Meininger Au,2,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Gisling,2,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Fuchsbau,2,locality,review,osm,47.73274,9.95010,500,,,,,,,node/13028686222,0.70,"far from most of the entries' other places (0% within 80 km, nearest 103 km)",
Bachhütten,2,locality,review,osm,47.82439,13.74241,300,,,,,,,node/6916358697,0.55,185 km from the entries' other places (0% within 80 km),
Schilfufer,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Steilufer,2,locality,review,osm,52.42959,11.99462,1500,,,,,,Q105957060,way/1035800992,0.55,458 km from the entries' other places (0% within 80 km),
Seekreite,2,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lütsee,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ackersee,2,locality,review,osm,48.97808,8.10219,500,,,,,,,node/7043811824,0.55,262 km from the entries' other places (0% within 80 km),
Pörlring,2,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Siedewitz,2,,no_match,osm,51.42862,12.69612,1500,,,,,,,way/95783550,0.30,OSM landuse/residential named after the place; 340 km from the entries' other places (0% within 80 km),
Schweiz,2,locality,review,osm,46.79856,8.23197,3000,,,,,,Q39,relation/51701,0.70,"far from most of the entries' other places (0% within 80 km, nearest 138 km)",
Premach,2,locality,linked,osm+geonames,48.24697,10.45006,1500,2852245,Premach,P.PPL,DE,02,Q22693523,node/440817005,0.80,"far from most of the entries' other places (0% within 80 km, nearest 84 km)",
Kaieinges,2,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Scheuchenberg,2,locality,linked,osm,49.02645,12.25602,300,,,,,,Q13617231,node/61270684,0.95,entry context 11 km (100% of the entries),
Unterisling,2,locality,linked,osm+geonames,48.98251,12.11810,1500,2819287,Unterisling,P.PPL,DE,02,Q117456755,node/774475247,0.95,entry context 16 km (100% of the entries),
Sünching,2,locality,linked,osm+geonames,48.87855,12.35129,2000,2824687,Sünching,P.PPLA4,DE,02,Q490326,relation/966628,0.95,entry context 5 km (100% of the entries),
Tröblitz,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Seebüchet,2,locality,linked,geonames,47.97474,11.24651,1500,2833915,Seebuchet,V.FRST,DE,02,Q32297055,,0.95,GeoNames primary name match (DE); entry context 30 km (100% of the entries),
Edelshausen,2,locality,linked,osm+geonames,48.60899,11.27755,1500,2933451,Edelshausen,P.PPL,DE,02,Q111420808,node/220590086,0.95,,
Panzerwiese,2,locality,linked,osm,48.21991,11.57502,1500,,,,,,Q1357771,way/1115738497,0.95,entry context 9 km (100% of the entries),
Merlinger Moos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
En-See im Luitpoldpark,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Burgebrach,2,locality,linked,osm+geonames,49.82832,10.74338,1500,2941403,Burgebrach,P.PPL,DE,02,Q513956,relation/1077539,0.95,entry context 14 km (100% of the entries),
Dechsendorfer Weiher,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rehau,2,locality,linked,osm+geonames,50.24921,12.03422,1500,2849446,Rehau,P.PPL,DE,02,Q49814,relation/1021691,0.95,entry context 28 km (100% of the entries),
Kanzberg,2,locality,linked,osm+geonames,47.35000,10.41667,500,2774789,Kanzberg,T.MT,AT,07,Q21868272,node/533869099,0.80,"far from most of the entries' other places (0% within 80 km, nearest 123 km)",
Naab,2,locality,linked,osm+geonames,49.79862,12.42907,1500,2867271,Naab,P.PPL,DE,02,,node/322109302,0.95,entry context 23 km (100% of the entries),
Sauerlosweiher,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schirmitz,2,locality,linked,osm+geonames,49.65000,12.16667,2000,2839074,Schirmitz,P.PPLA4,DE,02,Q169573,relation/1059449,0.95,entry context 4 km (100% of the entries),
Schleswig-Holstein,2,locality,linked,osm+geonames,54.20000,9.75000,50000,2838632,Schleswig-Holstein,A.ADM1,DE,10,Q1194,relation/51529,0.95,,
Warmebach,2,locality,no_match,geonames,51.50481,9.29625,3000,2814084,Warmebach,H.STM,DE,05,,,0.30,GeoNames primary name match (DE); 262 km from the entries' other places (0% within 80 km),
Walchenseekraftwerk,2,locality,linked,osm,47.63001,11.33719,1500,,,,,,Q968006,way/42298177,0.90,OSM building/industrial named after the place; entry context 35 km (100% of the entries),
Auwiesmoor,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stephansposching,2,locality,linked,osm+geonames,48.81667,12.80000,2000,2827400,Stephansposching,P.PPLA4,DE,02,Q262333,relation/959823,0.80,"far from most of the entries' other places (0% within 80 km, nearest 118 km)",
Altenmuhr,2,locality,linked,osm+geonames,49.16667,10.70000,1500,2957529,Altenmuhr,P.PPL,DE,02,Q13377527,node/12610733791,0.80,"far from most of the entries' other places (0% within 80 km, nearest 131 km)",
Sankt Johann Baptist,2,locality,linked,osm,48.25529,11.36336,1500,,,,,,Q37873724,way/89218662,0.90,OSM amenity/place_of_worship named after the place; entry context 20 km (100% of the entries),
St. Bartholomä,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Grüne Insel,2,locality,linked,osm,48.21555,11.51016,100,,,,,,,way/109294682,0.90,OSM amenity/restaurant named after the place; entry context 10 km (100% of the entries),
Malta,2,locality,review,osm,35.93114,14.39516,3000,,,,,,Q233,relation/365307,0.55,1377 km from the entries' other places (0% within 80 km),
Dese,2,locality,review,osm+geonames,45.52962,12.30363,1500,3219021,Dese,P.PPL,IT,20,Q3705930,node/30152764,0.65,227 km from the entries' other places (0% within 80 km),
Isar-Anlagen,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Warburg,2,locality,linked,osm+geonames,51.49011,9.14641,1500,2814153,Warburg,P.PPL,DE,07,Q968,relation/1891491,0.95,,
Regnitzgrund bei Erlangen,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Eingang zur Schlucht,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ryburger Stausee,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Kembser Großschifffahrtskanal,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Weismain,2,locality,review,osm+geonames,50.08512,11.24024,2000,2812067,Weismain,P.PPLA4,DE,02,Q502610,relation/1026863,0.65,208 km from the entries' other places (0% within 80 km),
Röthbach,2,locality,linked,geonames,48.35969,11.37974,3000,2844219,Rothbach,H.STM,DE,02,Q35276860,,0.95,GeoNames primary name match (DE); entry context 26 km (100% of the entries),
Büchlos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stützli,2,locality,linked,osm,46.70771,7.61269,500,,,,,,,node/11478382906,0.95,entry context 19 km (100% of the entries),
Riessee,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Neustadt an der Waldnaab,2,locality,linked,osm+geonames,49.73287,12.17773,2000,2864055,Neustadt an der Waldnaab,P.PPLA3,DE,02,Q262594,relation/1059448,0.95,,
Simsee,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Dies-See,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
"Freimann, Floriansmühle",2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Demaringer Speicherer,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Jachau,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Niederach,2,locality,linked,osm,48.26615,13.21024,500,,,,,,,node/945060260,0.85,,
Untersteinfen,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Milchhäusl,2,locality,linked,osm,48.14978,11.58554,1500,,,,,,,node/118252923,0.90,OSM amenity/cafe named after the place; entry context 2 km (100% of the entries),
Třeboň,2,locality,no_match,geonames,43.10152,0.12014,1500,2972006,Trébons,P.PPL,FR,76,,,0.25,GeoNames contains name match (FR); 864 km from the entries' other places (0% within 80 km),
Lächelwand,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Reit im Winkl,2,locality,linked,osm+geonames,47.67729,12.47086,2000,2848382,Reit im Winkl,P.PPLA4,DE,02,Q252660,relation/941684,0.80,"far from most of the entries' other places (0% within 80 km, nearest 84 km)",
Niederaach,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Hofstätter See,2,locality,linked,osm+geonames,47.90029,12.17234,1000,2902395,Hofstätter See,H.LK,DE,02,Q27883370,way/190794386,0.95,,
Säuling,2,locality,linked,osm+geonames,47.53472,10.75472,500,3333972,Säuling,T.MT,AT,07,Q573703,node/495075191,0.95,entry context 3 km (100% of the entries),
Burgbeuren,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Hühnerberg,2,locality,linked,osm,48.43426,10.83020,300,,,,,,,node/3835524511,0.85,,
Ismaninger Wäldchen,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rückenköpfe,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Westerbuch,2,locality,no_match,geonames,52.61344,9.27448,1000,13657934,Westerbuch,P.PPLX,DE,06,,,0.30,GeoNames primary name match (DE); 524 km from the entries' other places (0% within 80 km),
Pappenheim,2,locality,linked,osm+geonames,48.93383,10.97431,1500,2855467,Pappenheim,P.PPL,DE,02,Q503763,relation/1015139,0.80,"far from most of the entries' other places (0% within 80 km, nearest 87 km)",
Rethem,2,locality,linked,osm+geonames,52.78501,9.37871,2000,2848051,Rethem,P.PPLA4,DE,06,Q145741,relation/1799474,0.95,,
Bebra,2,,linked,osm+geonames,50.97445,9.79562,1500,2951793,Bebra,P.PPL,DE,05,Q558530,relation/237802,0.95,,
Laatzen,2,locality,linked,osm+geonames,52.31506,9.79739,1500,2882087,Laatzen,P.PPL,DE,06,Q14856,relation/2012733,0.95,entry context 8 km (100% of the entries),
Ochsenfurt,2,locality,linked,osm+geonames,49.66429,10.06227,1500,2858333,Ochsenfurt,P.PPL,DE,02,Q504849,relation/163052,0.95,entry context 39 km (100% of the entries),
Murtiger Moos,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Echinger Bucht,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ritterloher Abhang,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stadtprozelten,2,locality,linked,osm+geonames,49.78466,9.41184,1500,2829751,Stadtprozelten,P.PPL,DE,02,Q502939,relation/394510,0.95,entry context 25 km (100% of the entries),
Neusee,2,,linked,geonames,47.85789,11.26724,1000,2864191,Neusee,H.LK,DE,02,Q22693290,,0.95,GeoNames primary name match (DE); entry context 6 km (100% of the entries),
Lindenwirt,2,locality,linked,osm,47.73148,13.26631,300,,,,,,,node/2929483901,0.85,,
Hartwald,2,locality,linked,osm,47.97311,10.76669,1500,,,,,,Q32053224,way/155986915,0.95,entry context 15 km (100% of the entries),
Vorderes Riedle,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Märzburg,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Littenmühle,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Hagberg,2,locality,linked,osm+geonames,48.93987,9.71115,500,2912685,Hagberg,T.HLL,DE,01,Q21714621,node/279207696,0.95,,
Maininger Gebiet,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lützelsee-Moor,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lachen,2,locality,linked,osm+geonames,47.19224,8.85324,3000,2660075,Lachen,P.PPLA2,CH,SZ,Q67100,relation/1683088,0.95,,
Ergraben,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Braueriet,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Parseierscharte,2,locality,linked,osm,47.16663,10.44842,1500,,,,,,,node/517874759,0.85,,
Parseier-Eisenspitze,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Baierried,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Löwenbrauerei,2,locality,review,osm,48.57068,13.45422,1500,,,,,,,way/738903866,0.45,"OSM craft/brewery named after the place; far from most of the entries' other places (0% within 80 km, nearest 147 km)",
Sloten,2,locality,review,osm+geonames,52.34167,4.79722,1500,2747132,Sloten,P.PPL,NL,07,Q1024903,node/6879994922,0.65,639 km from the entries' other places (0% within 80 km),
Steinschartenkopf,2,locality,linked,osm+geonames,47.28647,10.28045,300,6939447,Steinschartenkopf,T.PK,AT,07,Q261126,node/530735152,0.95,,
Ebene,2,locality,linked,geonames,49.05923,9.44597,500,11496553,Ebene,T.HLL,DE,01,,,0.90,GeoNames primary name match (DE); entry context 16 km (100% of the entries),
Fleck,2,locality,linked,osm+geonames,48.16076,12.04162,1500,2926340,Fleck,P.PPL,DE,02,,node/430862065,0.95,entry context 35 km (100% of the entries),
Rauchbeeren,2,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Wertach beim Urwald,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Steinach am Brenner,2,locality,linked,osm+geonames,47.08333,11.46667,2000,2764557,Steinach am Brenner,P.PPLA3,AT,07,Q697506,relation/79609,0.95,,
Verwall,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schwarzwassergebiet,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Funtensee,2,locality,linked,osm+geonames,47.49325,12.93941,1000,2923719,Funtensee,H.LK,DE,02,Q314939,way/8090561,0.80,"far from most of the entries' other places (0% within 80 km, nearest 123 km)",
Markt Almtorf,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Mehring,2,locality,linked,osm+geonames,48.18333,12.78333,2000,2872377,Mehring,P.PPLA4,DE,02,Q1917569,relation/942043,0.95,entry context 4 km (100% of the entries),
Inn-Salzachmündung,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Oktoberwiese,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
K.W.,2,locality,review,osm,48.96363,12.88969,1500,,,,,,,node/3750120338,0.45,"OSM historic/boundary_stone named after the place; far from most of the entries' other places (0% within 80 km, nearest 133 km)",
Forst K.W.,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bruckstellen - Büchlore,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Windischmatrei,2,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Gackel'sche Reiberey,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Entenlohe,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Mairingen,2,locality,review,osm,48.05239,13.57095,1500,,,,,,,way/421234933,0.45,"OSM amenity/shelter named after the place; far from most of the entries' other places (0% within 80 km, nearest 142 km)",
Rothenfels,2,locality,linked,osm+geonames,49.25503,11.55539,1500,2844043,Rothenfels,P.PPL,DE,02,Q1681303,node/199449856,0.80,"far from most of the entries' other places (0% within 80 km, nearest 114 km)",
Hüttenkopf,2,locality,linked,osm+geonames,47.23415,9.76482,300,6939294,Hüttenkopf,T.PK,AT,08,Q21878329,node/440752136,0.95,,
Geißhorn,2,locality,linked,geonames,47.28885,10.17481,300,2778727,Geißhorn,T.PK,AT,08,Q320334,,0.90,GeoNames primary name match (AT); entry context 10 km (100% of the entries),
Freibergsee,2,locality,linked,osm+geonames,47.38079,10.26795,1000,2925184,Freibergsee,H.LK,DE,02,Q1453834,way/1127576663,0.95,entry context 5 km (100% of the entries),
Sennereistack,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stuibenfälle,2,locality,linked,osm,47.49407,10.74779,1500,,,,,,Q476626,way/840238229,0.95,entry context 38 km (100% of the entries),
Kegelköpfe,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schmalhorn,2,locality,linked,osm+geonames,47.33371,10.28748,500,2838062,Schmalhorn,T.MT,DE,02,Q2245691,node/530747898,0.95,entry context 5 km (100% of the entries),
Großhadern-Martinsried,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Pfaffenhofen,2,locality,linked,osm+geonames,48.39334,11.20563,1500,2854394,Pfaffenhofen,P.PPL,DE,02,Q45087259,node/411028629,0.95,entry context 39 km (100% of the entries),
Freyling-Werling,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lahlbach,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Forstmeister Park,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Neukühlung,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Warmbrunn und Ladehorn,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Arget-Gumpertsham,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rothmühl,2,locality,linked,osm,48.52849,12.73045,500,,,,,,Q126595500,node/2203649348,0.85,,
Inari-See,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Partenkirchen im Winkel,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Hochrhein,2,locality,review,osm,47.69679,8.75502,3000,,,,,,Q62026,relation/1103630,0.55,216 km from the entries' other places (0% within 80 km),
Schlegelspitz,2,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rabenkopf,2,locality,linked,osm+geonames,47.32778,12.55611,300,6939545,Rabenkopf,T.PK,AT,05,Q21878159,node/3564332596,0.95,entry context 40 km (100% of the entries),
